1,2,0.000000
1,3,189.577173
1,4,0.000000
1,5,0.231770
1,6,3360.902051
1,7,0.383568
1,8,0.000000
2,1,0.001102
2,3,1.227417
2,4,1926.419285
2,5,0.594706
2,6,0.184029
2,7,0.311612
2,8,646.257449
3,1,1392.562735
3,2,4.273715
3,4,66.484904
3,5,3485.956098
3,6,0.166276
3,7,0.405247
3,8,0.383054
4,1,1211.548766
4,2,887.410582
4,3,0.860503
4,5,2558.753807
4,6,4.447977
4,7,1.347621
4,8,1863.402631
5,1,0.458219
5,2,0.887828
5,3,2172.920079
5,4,0.795122
5,6,3314.362151
5,7,3155.154105
5,8,1184.181766
6,1,1017.368998
6,2,46.409523
6,3,47.184224
6,4,1529.446382
6,5,64.472622
6,7,3924.415947
6,8,3.045352
7,1,346.493487
7,2,2305.253354
7,3,974.866917
7,4,0.000088
7,5,0.000087
7,6,551.918444
7,8,3.083263
8,1,0.169773
8,2,0.462610
8,3,1633.383208
8,4,1606.579327
8,5,0.000087
8,6,0.354694
8,7,0.356693
