"x1","x2","x3","x4","x5"
1.0e-7,1.0,2.0,2.735769222188196,0.0883688985419878
1.0e-7,1.0,3.0,2.312703077911195,0.04845220058360453
1.0e-7,1.0,4.0,2.3137706388750092,0.1000007127749915
1.0e-7,1.0,5.0,2.309231475670996,0.09442857524050938
1.0e-7,1.0,6.0,2.3012245097253827,0.047148020294643316
1.0e-7,1.8,2.0,2.7357458354912754,0.06824616190870715
1.0e-7,1.8,3.0,2.3127758741775133,0.0650174069838182
1.0e-7,1.8,4.0,2.312612317186281,0.1148134059191536
1.0e-7,1.8,5.0,2.3092311110416306,0.09184177733265915
1.0e-7,1.8,6.0,2.300627474321565,0.11985239703380852
1.0e-7,2.6,2.0,2.7364756345374968,0.13799600045458188
1.0e-7,2.6,3.0,2.313375878025961,0.08612782603170359
1.0e-7,2.6,4.0,2.3130545671918794,0.133316708700079
1.0e-7,2.6,5.0,2.3113355361107937,0.091366477438096
1.0e-7,2.6,6.0,2.302643327720056,0.1277374687137754
1.0e-7,3.4,2.0,2.735782349226503,0.054563524941780024
1.0e-7,3.4,3.0,2.3118281867920665,0.08680241592564102
1.0e-7,3.4,4.0,2.3139556200125586,0.10955819924893209
1.0e-7,3.4,5.0,2.309979954207457,0.07636655073204689
1.0e-7,3.4,6.0,2.301562539464351,0.11910199047402144
1.0e-7,4.2,2.0,2.7363174737332634,0.11695224803023156
1.0e-7,4.2,3.0,2.3123154540988744,0.08682796085050265
1.0e-7,4.2,4.0,2.31348702123436,0.04290428115235576
1.0e-7,4.2,5.0,2.3100496800131887,0.07547822353973474
1.0e-7,4.2,6.0,2.3014143734235417,0.09398988142994741
1.0e-7,5.0,2.0,2.7357025940940036,0.04057074374424151
1.0e-7,5.0,3.0,2.3127448511462934,0.131740916970105
1.0e-7,5.0,4.0,2.313098550145651,0.12816827827356447
1.0e-7,5.0,5.0,2.308137818144926,0.11357413586344922
1.0e-7,5.0,6.0,2.3015258856694287,0.09917897989394946
1.0e-6,1.0,2.0,2.7361681537488076,0.13986118023285143
1.0e-6,1.0,3.0,2.3110513462858386,0.15632832022563606
1.0e-6,1.0,4.0,2.3120204122327164,0.05228504497410313
1.0e-6,1.0,5.0,2.3117370643049644,0.0989158024843989
1.0e-6,1.0,6.0,2.3022935405985794,0.14206897926003828
1.0e-6,1.8,2.0,2.735683760618725,0.06131471084830635
1.0e-6,1.8,3.0,2.3136695059814203,0.08204775648644563
1.0e-6,1.8,4.0,2.312824702739343,0.08726546664660587
1.0e-6,1.8,5.0,2.3117818239234458,0.09158043213962395
1.0e-6,1.8,6.0,2.3014123120498913,0.10111128431376902
1.0e-6,2.6,2.0,2.7356189765865366,0.024800404835922076
1.0e-6,2.6,3.0,2.3122471194914134,0.10578587523822568
1.0e-6,2.6,4.0,2.313214780508249,0.08471387582512453
1.0e-6,2.6,5.0,2.3104302770358567,0.16808719629665692
1.0e-6,2.6,6.0,2.303062380330093,0.06207855137440286
1.0e-6,3.4,2.0,2.7356404539046633,0.10980210807889305
1.0e-6,3.4,3.0,2.313281947440864,0.08133490151449707
1.0e-6,3.4,4.0,2.31209452496383,0.07083938239583198
1.0e-6,3.4,5.0,2.308150239121716,0.10398366317205095
1.0e-6,3.4,6.0,2.3008064875519483,0.06854995502425859
1.0e-6,4.2,2.0,2.7358059017606537,0.08551719477873028
1.0e-6,4.2,3.0,2.3121079040715986,0.10158471034335773
1.0e-6,4.2,4.0,2.3135662289890044,0.07605103243024292
1.0e-6,4.2,5.0,2.3097376394645845,0.08784837200019885
1.0e-6,4.2,6.0,2.3015175450071204,0.0725813086632167
1.0e-6,5.0,2.0,2.736148814633518,0.13798647284800603
1.0e-6,5.0,3.0,2.311792440914168,0.08528472811999074
1.0e-6,5.0,4.0,2.3156872058558617,0.12773091259100167
1.0e-6,5.0,5.0,2.3091204732000956,0.06395690568315392
1.0e-6,5.0,6.0,2.30380895984384,0.06905394214313476
9.999999999999999e-6,1.0,2.0,2.7355502705742345,0.06104420341640431
9.999999999999999e-6,1.0,3.0,2.312188685062791,0.12764628122604524
9.999999999999999e-6,1.0,4.0,2.312441776435663,0.060208848749768874
9.999999999999999e-6,1.0,5.0,2.3091424049106335,0.07481604457650798
9.999999999999999e-6,1.0,6.0,2.3018576652742118,0.03413642663259183
9.999999999999999e-6,1.8,2.0,2.736274173255089,0.11184307344866143
9.999999999999999e-6,1.8,3.0,2.3128839428902075,0.11416193939653214
9.999999999999999e-6,1.8,4.0,2.31273257260027,0.11841601306640577
9.999999999999999e-6,1.8,5.0,2.3086513505446105,0.10221672866595367
9.999999999999999e-6,1.8,6.0,2.3014666488896256,0.061449914016630934
9.999999999999999e-6,2.6,2.0,2.736004624707334,0.06244601318651313
9.999999999999999e-6,2.6,3.0,2.3126417693180024,0.0689342359249644
9.999999999999999e-6,2.6,4.0,2.3124989188305585,0.1154402207595145
9.999999999999999e-6,2.6,5.0,2.3093892628612984,0.15572084330618935
9.999999999999999e-6,2.6,6.0,2.3006440060736884,0.12478326043773676
9.999999999999999e-6,3.4,2.0,2.7356019464634826,0.06611615975637929
9.999999999999999e-6,3.4,3.0,2.3114918050539157,0.10564012546942544
9.999999999999999e-6,3.4,4.0,2.3141380998172822,0.038073849638007674
9.999999999999999e-6,3.4,5.0,2.314578727731359,0.10431532286002959
9.999999999999999e-6,3.4,6.0,2.305368255701959,0.12204902330576242
9.999999999999999e-6,4.2,2.0,2.735734598319532,0.13283555869630387
9.999999999999999e-6,4.2,3.0,2.3137765822288947,0.14552572485882187
9.999999999999999e-6,4.2,4.0,2.3149557588839764,0.12565661711455328
