"Flows","True","Fit","LB","UB"
0.0,1.0,1.1901266199108,-0.7318831090890191,2.2895435239941038
0.06896551724137931,1.0000033932765053,1.1996607609633543,-0.4758507946009287,2.289542237310613
0.13793103448275862,1.000054292424086,1.2055262249277843,-0.23167614535139883,2.289543419735718
0.20689655172413793,1.0002748553969356,1.2086136189205825,0.0037709514179510425,2.289543263816615
0.27586206896551724,1.0008686787853767,1.2098135500582423,-0.000286404705269052,2.2895428879104998
0.3448275862068966,1.002120797815861,1.210016625457258,0.00025448527854550484,2.2895469972473856
0.41379310344827586,1.0043976863509694,1.2101134522341215,0.0032873567534643794,2.289535626506976
0.4827586206896552,1.0081472568894116,1.2109946375053264,0.01071680352784743,2.289544955209992
0.5517241379310345,1.0138988605660268,1.2135507883873664,0.022816039224897278,2.28954369552973
0.6206896551724138,1.0222632871517827,1.2186725119967343,0.042239212160832124,2.2895425682144683
0.6896551724137931,1.0339327650537764,1.227250415449923,0.07029610617330806,2.2895435636866
0.7586206896551724,1.049680961315234,1.240175105863427,0.10762472245471344,2.2895433282769044
0.8275862068965517,1.0703629816155107,1.2583371903537381,0.16254331198779137,2.2895389019292818
0.896551724137931,1.0969153702700907,1.2826272760373505,0.22020394034887864,2.28954257063356
0.9655172413793104,1.1303561102305872,1.3139359700307571,0.29724510453546127,2.2895441943824753
1.0344827586206897,1.1717846230847428,1.353153879450451,0.39013103352547324,2.306475914602159
1.103448275862069,1.2223817690564287,1.4011716114129253,0.5005440407135932,2.330291745837321
1.1724137931034482,1.2834098470056454,1.4588797730346736,0.6300406101568968,2.354792247607707
1.2413793103448276,1.3562125944285228,1.5271689714321894,0.7800299190245332,2.3801076894856643
1.3103448275862069,1.4422151874573188,1.6069298137219652,0.9525778863522206,2.409557541778762
1.3793103448275863,1.542924240860422,1.699052907020495,1.147444086549069,2.4472505333466215
1.4482758620689655,1.6599278080423483,1.804428858444271,1.3679134339907326,2.505101221642129
1.5172413793103448,1.7948953810437431,1.9239482751097874,1.6149760006998353,2.5685556761447943
1.5862068965517242,1.9495778905413834,2.0585017641335375,1.8899075800728815,2.625897804760845
1.6551724137931034,2.1258077058481706,2.2089799326320136,2.1333661311071728,2.752444165597577
1.7241379310344827,2.3254986349131386,2.3762733877217093,2.2406704880456756,2.8990113475601373
1.793103448275862,2.5506459243214508,2.5612727365191184,2.2895437054981196,3.0473022883821144
1.8620689655172413,2.803326259294396,2.764868586140733,2.2895401235597554,3.2996104986744155
1.9310344827586208,3.0856977636893967,2.9879515437030486,2.289544711405129,3.737592111379868
2.0,3.4,3.2314122163225556,2.289544037243487,4.209840239826738
