"Resids","ResidsTrue","ResidsRel"
709195.8542023543,824568.9716575351,0.06541116758100378
713362.15206654,795802.0912566595,0.06607773838601681
733543.1026829258,802860.7674621008,0.06850426601751636
660509.2467926033,755315.3507747706,0.06141289971061955
686441.7183246482,849447.3948709946,0.06330721885599731
697497.9039818775,804305.6943723485,0.06500103501248179
635643.9328642599,636776.081451958,0.06046493033481448
656994.9323840737,733770.2056312338,0.061737928119730334
676845.2020912692,813715.864416197,0.06253528313640742
764787.765284501,861927.4972584527,0.0709033500072329
821364.3515149597,1.0230153718178868e6,0.07431270924349359
752415.9453352727,834667.8688117322,0.06995776486891639
692974.8788252268,837320.4139750805,0.06492381314836189
757790.6468919497,834312.2406603061,0.07025316028648497
678741.678108938,783977.6176849864,0.06283701105551864
709656.5426684301,736271.820754936,0.06621650079940367
678642.0717283636,750380.1859869864,0.0639738765370146
646835.8783808816,753506.3595965635,0.060913547161643815
730712.1642080173,832900.2799554896,0.06721356923608694
628437.6407891326,678142.65970557,0.059036396349281456
569186.5789088774,584600.2209743168,0.05351283072711414
629912.8271033596,748465.1821780764,0.059149517119228535
781847.1875607949,876805.284244068,0.07114192961091721
702458.6868202034,881503.7407224309,0.06498648309584572
779174.4046593141,833385.9242346436,0.07272944285890842
645784.2033304926,641995.6616834179,0.06213856998007889
687246.487629408,799677.4132326636,0.06320565939461312
729376.2495578285,809142.6721181478,0.06810331211628239
752336.1446884535,833107.941029489,0.0693331821435457
735374.4552757312,836541.0303844512,0.06836882822214749
740984.7491515316,912552.3513629492,0.06816162774528353
663079.9999982826,802493.5495585073,0.06148536148055473
682089.069287071,753292.316459354,0.06399915335950718
683235.4595141355,718688.0782306585,0.06415275129019439
755194.4848893099,870315.246661488,0.07000493546164782
751418.7847019155,872074.0265888907,0.06963157953827383
835011.8129194845,950705.609080147,0.07624704464630551
677194.1441303864,818015.9581443127,0.06371086074137036
585340.0716003403,656510.7824130021,0.05570982823352076
656989.5711483099,763982.9974094182,0.06095561321062604
698575.5657020118,861391.2443256173,0.06468016441982465
745662.722061621,908598.6723044273,0.06882433546145536
757704.9415868223,918784.3076552153,0.06988901388547282
712094.3858106043,796821.9755415935,0.0660742559803363
686717.7510265503,823749.2063456383,0.06388932016869596
725465.3563259616,867863.4400757533,0.06754611774794748
609005.9323939197,649015.7266461197,0.05763903697382067
700632.5277269017,895398.4517566655,0.06475554415494691
640286.3070260268,744601.4459168762,0.060257137091429415
592430.8424569536,687176.4144263174,0.05572485207447772
645919.6804615222,784017.2523839921,0.06128314136903892
719845.3674515579,865523.9995842054,0.06595220352772642
748616.3894032389,961927.7290981226,0.06808104498252524
765511.3166359775,915108.4140697792,0.07094891419360429
858860.2461968418,1.0033058307619989e6,0.07855818584155637
658625.059675632,786396.3738984205,0.061950909156550424
698510.0236997083,841658.152979238,0.06428997894808573
787566.0916359089,803388.7974990346,0.07375329062204727
760891.1331931129,918011.6392474808,0.07060398446453163
707640.23853915,813617.9132558499,0.06586269416391521
665854.1950341351,854343.0234135389,0.06155315557815938
662146.1310084295,829449.7961449884,0.061906258125302656
721929.7750077341,771971.5658725798,0.06733362736191105
766061.523536196,809268.0283066891,0.07084348506194856
738836.6541734636,857273.3805769421,0.06791994807427536
680627.8526964318,747261.1439299528,0.06389014628355048
668088.9895532466,781653.6395425219,0.0624805585516412
691932.2820421737,759024.6593903154,0.06398759904978658
702116.589271076,748324.5708653014,0.06516044356747833
719746.9780371971,824754.894759614,0.06655479519612517
771153.7856266927,867938.8040261492,0.07146945130343565
772550.1727906913,906625.5772698559,0.07082822741496493
714916.8629049473,757561.9157907218,0.06781050940456718
725990.2963166162,798293.9449082445,0.0667621519518044
736979.0531295817,825305.010440737,0.06766921935124619
579754.048825996,641828.6081469636,0.05485611798403052
813239.5569615066,912627.5616948456,0.07449947901163269
735442.1364714857,889017.6355488319,0.06758419029097615
701424.1462261435,773150.5657277126,0.06530553119967429
811659.3181468546,1.0053852947421111e6,0.07383555543706033
670531.407616768,788216.6989792101,0.06371454241972206
799441.1308358852,943367.5589476638,0.07297933930531378
657949.3520635497,816007.4161694162,0.0618491262325404
708285.8456840459,744703.3594834786,0.06669900268708666
695059.6420155298,859211.8290822543,0.0645027692086505
790836.757650109,971289.2121794838,0.07132751251927764
586819.9240658581,631157.0838393234,0.05618858847641469
701790.852299111,742993.5855514165,0.0655265679488941
694246.6561545059,762316.3897862062,0.06512922958769951
671660.6459280681,731540.2723144293,0.06235827555341751
682712.3045464028,715337.6260484811,0.06391817179862705
835707.5609656889,941873.9054380897,0.07643561366875304
757134.268864179,899442.8226458058,0.06942137989729123
683327.7332244888,745129.0449320879,0.06410641799999445
725231.4493125714,858203.2148569096,0.0674094630947019
654732.8918797672,716389.8994264454,0.06170109553839567
648124.17526884,815256.2799485996,0.060320068787940204
700823.260750588,785701.7783563044,0.06630584565838968
716513.5351514556,782897.6595442779,0.06676801004393873
730125.0143746156,789829.6416965742,0.06903776378927297
721306.0422202777,812659.585511066,0.06696236589837379
689538.0017484669,829502.8286847621,0.06381195949161722
668021.761463087,829021.7584867105,0.06113759300584363
779333.3315015715,864448.2657253891,0.07230638398414266
669154.4748279992,770652.618630046,0.062321601520848244
613025.4160454851,751636.3348019496,0.058283160809777634
636278.8638253883,710381.406874042,0.059567539960258355
736671.2114673071,812970.7123561017,0.06741457763096426
720537.4679603428,788159.2827160899,0.06733039236451442
828433.0102777816,990940.647042308,0.07467806389247468
766567.5898887571,884562.0710151624,0.07071412406754836
690692.8660295829,726358.581149552,0.06429324245560018
654278.7309226207,783691.0090704504,0.061094232649631354
609833.0400237814,737271.4713213742,0.05751780239358929
762345.1425508503,855862.0718143601,0.07063492622133742
766721.021133637,903122.1991578564,0.07153302815941215
792751.2792258114,863106.91567857,0.07373396464676502
688138.3286928888,873926.5145869106,0.0631084688807628
633836.4918283932,721321.6788493879,0.05942810560512089
677313.4960016869,712896.9038203862,0.06321060405204504
710472.1700382978,861975.4234573524,0.06569437418003846
806145.0738331284,907121.3584272619,0.07396813906184083
689951.9207221866,723641.4567092899,0.06436731104402892
641613.0997225121,727816.202048799,0.05997359418119314
763756.6623993106,886120.8265763056,0.06994482167331867
689498.8380183503,805494.2487231698,0.064909740672678
719886.103326926,805616.9349617437,0.06655073105855902
753966.3041276187,835406.2868168447,0.06969139526417238
677831.3723676819,820708.8027743809,0.06369911913745771
751550.9971608166,938611.5064549949,0.0692650146603989
655487.387186747,764917.1127300821,0.060644682653075585
748615.8857329804,943029.8269361462,0.06859041636581861
715914.8588790521,877599.350937169,0.0658418808453816
753340.0705017243,838185.2401977405,0.07060438964406159
648673.0278825536,892672.6535982545,0.05982277388253108
713645.9029881004,779119.2770212255,0.06728148974487885
695042.4169176202,831041.7917047571,0.06357949741873535
659786.3539959844,733697.3910483085,0.06142098616914288
643160.026489336,700050.7958586793,0.06036796036330535
660066.4151554108,744448.4896653648,0.06209344034372485
728641.7441221029,742602.82537397,0.06823900924702951
708688.2869211771,917347.8718838245,0.06557196404250888
623287.8630148619,716228.7600624748,0.05844821844057472
794072.2558497936,948117.2711785547,0.07314299499706231
638532.1202999186,694684.3209080473,0.05973858094591261
730606.1769035067,964961.2503998987,0.06669697276469419
735737.6863282584,894591.2706608791,0.06808712518715261
731436.4762424193,883880.3322259244,0.06793998593891777
688380.389442062,793688.6752277929,0.06377904695215837
766194.1167919114,934727.3273687791,0.0704238802692062
628946.6886388678,684435.5077961832,0.05909879131169113
697070.885432655,821058.4635412823,0.06444095567874131
713682.8662907388,783025.9273551404,0.06697648788290046
822105.4387855213,892255.8150144946,0.07556535026494487
650216.6197371725,742028.3398280665,0.061078594854602104
675891.4549488444,756511.0948515572,0.06324280215236334
840294.0019720756,911702.857442094,0.07700915636374214
592041.8273441009,737168.5299614538,0.0558358670096937
777541.1839635931,870516.5655745529,0.07151217955914556
740683.4672307856,808471.556173671,0.0681980481793598
667106.855000509,710509.0342091825,0.06335616211361363
676429.2451832257,759744.1476520486,0.06328539403129702
618638.1363819893,666027.6489972863,0.057960855787537235
765582.0098376591,895808.3929335997,0.07023352731144454
702981.287945075,767961.9407444037,0.06584010771366408
699497.3490903378,738951.1840708014,0.06539562036228226
606655.8936306611,716009.8309174385,0.057469769210858834
794498.7175507527,906925.4889387023,0.07313064284568983
742952.3959727492,770214.2589721121,0.06942429089710607
626622.0786487181,734171.9780421834,0.058623550454777656
703879.0795936938,762294.4235630557,0.0654139148022247
601900.1764996424,750623.2610488329,0.05696463949983364
730495.0434893742,767308.5101764575,0.06801478811769454
719487.3315683268,838516.0775935054,0.06611592470676984
696078.1957662571,835126.8204899468,0.06396615036167319
604285.9549928382,711792.0368285514,0.05657991497644754
767965.7287898995,818478.1355460193,0.0715636151133201
612092.0326421931,763836.2872908972,0.05743802033536136
684146.5023673363,762529.4202613477,0.06360578532088154
741588.7699241228,819785.4249437358,0.06772502561151898
672883.0460609738,791936.8898848016,0.06274908590406007
647586.9449663442,754475.3181402106,0.0607191031226233
751258.7751805428,854756.1338524595,0.06956237556266323
733532.0679674093,826546.4976896197,0.0683477141037667
675419.5345186405,760388.8835702669,0.0635320550372496
797262.6985512767,1.0135262890325636e6,0.07344768303463355
624772.2828613799,687977.2009902056,0.05884120057786277
676231.9057755079,790240.1241291519,0.06297185849985212
712914.6238459554,796302.6486503351,0.06723120434213842
735475.1901106276,933800.0023603309,0.06759695062172062
768451.7083921749,960241.7719885856,0.06991545048941973
626667.8818937857,645434.0674217287,0.058841614561223554
641056.816685725,758980.8109176774,0.06055527012608425
781456.7054509036,895172.2734457813,0.07166782395474257
709739.9448147863,888485.9367671553,0.06565688073898394
753173.3261248935,864680.2784102503,0.06875059091217783
776247.3695453126,894107.1646999493,0.07090131361084263
752061.5401634667,801087.1364982612,0.07022362162170044
746499.4328343216,784932.5023347922,0.06936748013577013
670247.7112811599,728638.8660961799,0.0625252204012217
782572.1966968067,873454.5016469602,0.07202142271666802
645637.3062624857,677121.0127792694,0.06083420405333686
708423.6963529922,839353.4396216236,0.06567491555463631
650679.8597904872,814160.2260917611,0.060580935747097865
692163.0296117719,735585.0092912465,0.06485548321527505
683950.4785627704,862210.324583767,0.06284028448422287
701622.2058308348,718650.9577301927,0.06629174580159995
687704.189438004,741579.3935380615,0.06507388099142462
708565.7431560643,885294.4410376009,0.06522153711599696
585329.3907729238,647820.0611496996,0.05550494746075825
687802.3999889418,770165.9486042988,0.06434185273268295
718349.3913544156,867550.1405812185,0.06642316623518799
748774.1327395011,922059.4979854301,0.06889783669982166
741525.7643670924,838345.8646097574,0.06954223976052412
715343.8390984386,916985.394018054,0.0652253260772814
641795.6010701098,681170.6279138438,0.0604555125892813
667923.243013816,706306.4701859578,0.06289206056187249
690989.7421155088,783238.4426197708,0.06513134474756846
683174.4577212669,774533.3687277958,0.06287957945650959
711462.2696193084,787731.7991978731,0.06605887039161285
754186.0149021223,867029.3282201868,0.07016416506148096
673155.68207944,798407.3284433857,0.06261235586693145
673210.8417319302,697762.2455736604,0.0636035779278264
799519.3838376962,938410.0581327565,0.0730892928011707
669867.1796604432,736089.1183019839,0.062478166108110786
660386.2221164871,728913.6454403009,0.06250461771300735
568641.1784666982,618992.5821349621,0.053904205159096226
665972.2026239559,813572.0073454436,0.06230945868080863
687692.3943182826,805372.4256262481,0.06380436099104575
658574.1596269328,778580.0553188547,0.06171239370223225
647023.5983476397,772044.1681284606,0.0597830707768568
765089.3412545603,885019.0183948353,0.07116130461330993
718266.6433549263,823927.3907282092,0.06581552782412747
643483.9526046999,746794.7258076183,0.06047279201594788
669625.3289799504,725837.1023201644,0.062495630524605335
640470.7709241789,762624.0244110525,0.0598983978870592
678199.5286489408,814978.439970199,0.06286054014287384
773675.3809209261,889316.7605653014,0.0713346141192187
682996.0014267899,817935.6645181794,0.06354473968616346
807167.2656210829,927113.4791287277,0.07387690689851178
686455.942927489,711017.67816188,0.06462999543012275
713698.0959991906,778066.0626626257,0.06643694195719847
660174.8996506967,743750.9887567926,0.061626223501889454
698208.3742847759,795879.8656709045,0.06483066863818866
741997.8081949763,873897.9789091423,0.06827041307276531
736183.5969109051,806492.3310362529,0.06865922026739167
707488.7323275618,840378.3883548453,0.06554441328995778
705342.7859984208,779932.0277314056,0.06501411034960965
647404.9980266578,774691.8922078218,0.06003790481715327
711188.3899360187,784441.924053723,0.06627169138981948
676470.0712469686,789486.9947966039,0.06254497732418024
767898.0684921518,893384.2257951964,0.07062966645609395
643476.8444583602,720066.6539349444,0.05967563415899543
628345.1401375756,774389.0417778622,0.05901663489378927
729276.3929577637,807646.3987870552,0.0674778208172905
749554.2206495907,836277.2842164617,0.06958288901578008
775196.2550618611,1.071697222557081e6,0.07016362558062333
711845.7639352456,699420.9501838349,0.06667642847340992
731808.1705210023,830412.4893209115,0.06778871295548475
653112.3711908925,757511.4841670077,0.061256768995921626
766741.8835659847,828190.2924286276,0.07112665167891695
839937.3374300469,914714.4814716764,0.07585364235844338
712287.012896169,711035.159141032,0.0665570399901936
639093.5879676901,695573.9324899241,0.06041862709569485
759143.6742637213,854376.4281099178,0.07005852820364544
697540.8677446283,795296.9025966953,0.06506663683072905
771157.5267618243,901415.0128780045,0.07042179064974756
811470.5521185305,931257.8192365281,0.07471732298651339
691810.3541129362,791907.7849204112,0.06395437440369058
634705.4589238167,669173.0598069914,0.0602363864219844
678555.5268123541,808067.094675513,0.06301843493420121
806792.8436163869,849918.9372162446,0.07376626743531346
661099.6607333273,718165.9733518213,0.06211582939337324
779377.318356758,908610.6325637996,0.07155772221700055
804835.2140611019,973002.8414804451,0.07470071266811493
649610.6700786091,828600.9259882253,0.060556401013453144
712345.2233082633,820528.408598695,0.06617157480673085
727884.5620513316,804349.3691777047,0.0672739711446317
727401.2581836134,799710.9016516097,0.06765046153249996
717248.3734936416,785427.9603226781,0.06729496342532656
618704.8694586456,741687.8129384201,0.05777768637537817
711645.6140801962,748673.9192419946,0.06643006857268301
609267.1228259187,662583.1807042491,0.05849394374624239
739500.0398516245,841237.0234696623,0.0684440168608982
731733.1339888442,837977.8504457176,0.06655800319516557
697255.0024773534,759475.179763712,0.06486192453449978
734558.5463420879,795153.2173339911,0.06827425366946765
795474.0896206349,842386.520262029,0.07427142339522243
640336.8337513562,739570.6391266342,0.06072049751289955
740264.912580546,829133.2536511868,0.0692406278522236
712433.5495551713,800463.3108279016,0.06584115429640079
664465.7994813528,761912.6515481751,0.06217684844730322
755742.0779339876,852449.4244881738,0.0698411953670807
625637.8473314177,663510.8670018427,0.05876167529250144
778146.4819402676,866144.8360016346,0.07105584397610838
701080.52485919,939079.2305809446,0.06430364360068754
645304.7892131917,717060.4011439756,0.0603946075990681
735161.7827043366,803289.4428875912,0.06822479179730086
628639.9329774361,669030.703538036,0.05888819094889637
585497.1020510402,672967.6091455836,0.055402279053305734
688538.4097355139,799614.7491957005,0.06423109103770626
617222.9006829411,687351.4850043822,0.057743914491776016
690405.8648177907,777911.0642848294,0.0644186822058909
700649.2639359366,809813.8964564931,0.06535377811566438
758193.8899357244,844752.4577602688,0.06993304094735087
820414.5910340641,960734.7787960768,0.0754978840184308
731385.0222397,793734.7457086705,0.06824462283610387
744156.836625861,896602.3930395115,0.06843894903299255
731366.7410553601,849248.1789170709,0.06754049130362175
662635.2890227512,721984.0662318468,0.06226480955651674
688081.3915116042,851445.3859049566,0.06387673779434132
609544.1796216015,641998.1349301003,0.058003703151239164
776398.3068900704,902365.7339516897,0.0722248384806127
